2022-01-26 09:00:07.565+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Neighbours round timed out
2022-01-26 09:00:07.566+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 09:00:07.566+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Iterative peer search complete.  1 peers processed over 2 rounds.
2022-01-26 09:00:07.763+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:07.763+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:12.764+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:12.764+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:17.766+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:17.766+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:17.779+10:00 | nioEventLoopGroup-3-3 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 09:00:17.781+10:00 | nioEventLoopGroup-3-3 | DEBUG | ApiHandler | Received Wire PONG
2022-01-26 09:00:22.771+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:22.772+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:27.775+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:27.775+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:32.708+10:00 | vert.x-eventloop-thread-1 | DEBUG | PeerDiscoveryController | Peer table refresh triggered by insufficient peers
2022-01-26 09:00:32.709+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Start peer search.
2022-01-26 09:00:32.709+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 09:00:32.709+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Initiating neighbours round with 1 candidates from 1 tracked nodes
2022-01-26 09:00:32.926+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:32.926+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:32.927+10:00 | nioEventLoopGroup-3-3 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 09:00:32.930+10:00 | nioEventLoopGroup-3-3 | DEBUG | ApiHandler | Received Wire PING
2022-01-26 09:00:32.931+10:00 | nioEventLoopGroup-3-3 | DEBUG | ApiHandler | Received Wire PONG
2022-01-26 09:00:37.710+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Neighbours round timed out
2022-01-26 09:00:37.710+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 09:00:37.710+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Iterative peer search complete.  1 peers processed over 2 rounds.
2022-01-26 09:00:37.932+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:37.932+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:42.934+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:42.934+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:47.933+10:00 | nioEventLoopGroup-3-3 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 09:00:47.934+10:00 | nioEventLoopGroup-3-3 | DEBUG | ApiHandler | Received Wire PING
2022-01-26 09:00:47.935+10:00 | nioEventLoopGroup-3-3 | DEBUG | ApiHandler | Received Wire PONG
2022-01-26 09:00:47.935+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:47.936+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:52.936+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:52.937+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:00:57.942+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 09:00:57.942+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 09:01:02.708+10:00 | vert.x-eventloop-thread-1 | DEBUG | PeerDiscoveryController | Peer table refresh triggered by insufficient peers
2022-01-26 09:01:02.708+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Start peer search.
2022-01-26 09:01:02.708+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 09:01:02.709+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Initiating neighbours round with 1 candidates from 1 tracked nodes
2022-01-26 09:01:02.936+10:00 | nioEventLoopGroup-3-3 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 09:01:02.937+10:00 | nioEventLoopGroup-3-3 | DEBUG | ApiHandler | Received Wire PING
2022-01-26 09:01:02.937+10:00 | nioEventLoopGroup-3-3 | DEBUG | ApiHandler | Received Wire PONG
