2022-01-26 08:20:40.499+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 08:20:45.505+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 08:20:45.505+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 08:20:45.506+10:00 | nioEventLoopGroup-3-2 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 08:20:45.508+10:00 | nioEventLoopGroup-3-2 | DEBUG | ApiHandler | Received Wire PING
2022-01-26 08:20:45.509+10:00 | nioEventLoopGroup-3-2 | DEBUG | ApiHandler | Received Wire PONG
2022-01-26 08:20:46.311+10:00 | vert.x-worker-thread-13 | DEBUG | PongPacketData | read PONG enr from scalar
2022-01-26 08:20:50.511+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 08:20:50.511+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 08:20:55.517+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 08:20:55.517+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 08:20:56.438+10:00 | vert.x-worker-thread-18 | DEBUG | PongPacketData | read PONG enr from scalar
2022-01-26 08:21:00.049+10:00 | vert.x-eventloop-thread-1 | DEBUG | PeerDiscoveryController | Peer table refresh triggered by timer expiry
2022-01-26 08:21:00.050+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Start peer search.
2022-01-26 08:21:00.050+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 08:21:00.051+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Initiating neighbours round with 1 candidates from 1 tracked nodes
2022-01-26 08:21:00.061+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Received neighbours packet with 1 neighbours
2022-01-26 08:21:00.062+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2022-01-26 08:21:00.062+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Iterative peer search complete.  1 peers processed over 2 rounds.
2022-01-26 08:21:00.510+10:00 | nioEventLoopGroup-3-2 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 08:21:00.511+10:00 | nioEventLoopGroup-3-2 | DEBUG | ApiHandler | Received Wire PING
2022-01-26 08:21:00.512+10:00 | nioEventLoopGroup-3-2 | DEBUG | ApiHandler | Received Wire PONG
2022-01-26 08:21:00.522+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 08:21:00.522+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 08:21:05.528+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
