2022-01-26 08:20:30.550+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Bonding round timed out
2022-01-26 08:20:30.552+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Iterative peer search complete.  1 peers processed over 1 rounds.
2022-01-26 08:20:30.555+10:00 | vert.x-worker-thread-10 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:32.052+10:00 | vert.x-worker-thread-11 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:35.054+10:00 | vert.x-worker-thread-14 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:35.057+10:00 | vert.x-worker-thread-17 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:35.498+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:20:35.499+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:20:39.554+10:00 | vert.x-worker-thread-18 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:40.499+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:20:40.499+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:20:41.807+10:00 | vert.x-worker-thread-1 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:45.504+10:00 | EthScheduler-Timer-0 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2022-01-26 08:20:45.505+10:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2022-01-26 08:20:45.506+10:00 | nioEventLoopGroup-3-1 | DEBUG | WireKeepAlive | Idle connection detected, sending Wire PING to peer.
2022-01-26 08:20:45.508+10:00 | nioEventLoopGroup-3-1 | DEBUG | ApiHandler | Received Wire PING
2022-01-26 08:20:45.509+10:00 | nioEventLoopGroup-3-1 | DEBUG | ApiHandler | Received Wire PONG
2022-01-26 08:20:46.308+10:00 | vert.x-worker-thread-3 | DEBUG | PingPacketData | read PING enr as long scalar
